,CONNECTICUT RETAIL HEATING OIL PRICES ,,
DATE ,CT AVERAGE ($) ,CT HIGH ($) ,CT LOW ($) 
10/7/2019 ,2.743,3.849,2.329
10/14/2019 ,2.788,3.849,2.34
10/21/2019 ,2.77,3.849,2.299
10/28/2019 ,2.79,3.739,2.379
11/4/2019 ,2.803,3.999,2.34
11/11/2019 ,2.795,3.999,2.299
11/18/2019 ,2.811,3.99,2.299
11/25/2019 ,2.801,3.999,2.379
12/02/2019 ,2.831,4.049,2.379
12/09/2019 ,2.846,4.099,2.4
12/16/2019 ,2.874,4.099,2.36
12/23/2019 ,2.93,4.149,2.48
12/30/2019 ,2.948,4.199,2.52
01/06/2020 ,2.987,4.249,2.54
01/13/2020 ,2.953,4.049,2.48
01/20/2020 ,2.903,3.999,2.42
01/27/2020 ,2.828,3.899,2.28
02/03/2020 ,2.735,3.799,2.19
02/10/2020 ,2.691,3.699,2.18
02/17/2020 ,2.702,3.699,2.2
02/24/2020 ,2.664,3.649,2.2
03/02/2020 ,2.538,3.499,1.99
03/09/2020 ,2.437,3.499,1.88
03/16/2020 ,2.241,3.249,1.739
03/23/2020 ,2.148,2.99,1.639
03/30/2020 ,2.098,2.999,1.619
04/06/2020 ,2.041,2.999,1.55
04/13/2020 ,2.017,2.999,1.549
04/20/2020 ,1.899,2.999,1.449
04/27/2020 ,1.745,2.349,1.219
05/04/2020 ,1.734,2.549,1.279
05/11/2020 ,1.772,2.699,1.35
05/18/2020 ,1.83,2.899,1.4
05/25/2020 ,1.839,2.94,1.379
06/01/2020 ,1.823,2.94,1.379
06/08/2020 ,1.881,3.049,1.4
06/15/2020 ,1.892,3.099,1.4
06/22/2020 ,1.937,3.149,1.479
06/29/2020 ,1.94,3.149,1.48
07/06/2020 ,1.973,3.149,1.48
07/13/2020 ,1.988,3.149,1.48
07/20/2020 ,1.996,3.149,1.48
07/27/2020 ,2,3.149,1.52
08/03/2020 ,1.995,3.149,1.519
08/10/2020 ,2.027,3.149,1.52
08/17/2020 ,2.02,3.149,1.52
08/24/2020 ,2.002,3.149,1.52
08/31/2020 ,2.013,3.149,1.48
09/07/2020 ,1.992,2.999,1.429
9/14/2020 ,1.961,2.999,1.449
9/21/2020 ,1.971,3.089,1.48
9/28/2020 ,1.968,3.089,1.48
10/05/2020 ,1.994,3.029,1.48
10/12/2020 ,1.975,3.029,1.48
10/19/2020 ,1.973,3.029,1.48
10/27/2020 ,1.969,2.959,1.48
11/02/2020 ,1.961,2.969,1.45
11/09/2020 ,1.993,3.079,1.48
11/16/2020 ,2.002,3.064,1.54
11/23/2020 ,2.09,3.259,1.62
11/30/2020 ,2.137,3.319,1.719
12/07/2020 ,2.172,3.349,1.74
12/14/2020 ,2.226,3.399,1.8
12/21/2020 ,2.34,3.439,1.9
12/28/2020 ,2.322,3.439,1.9
01/04/2021 ,2.351,3.399,1.9
01/11/2021 ,2.377,3.549,1.92
01/19/2021 ,2.433,3.569,2
01/25/2021 ,2.446,3.569,2
02/01/2021 ,2.483,3.619,2.08
02/08/2021 ,2.578,3.719,2.13
02/15/2021 ,2.676,3.899,2.2
02/22/2021 ,2.739,3.999,2.29
03/01/2021 ,2.771,3.999,2.26
03/08/2021 ,2.804,3.999,2.2
03/15/2021 ,2.806,3.999,2.34
03/22/2021 ,2.751,3.999,2.23
03/29/2021 ,2.691,3.619,2.249
04/05/2021 ,2.713,3.46,2.25
04/12/2021 ,2.703,3.799,2.26
04/19/2021 ,2.692,3.799,2.179
04/26/2021 ,2.696,3.699,2.25
05/03/2021 ,2.756,3.699,2.3
05/10/2021 ,2.755,3.699,2.3
05/17/2021 ,2.761,3.699,2.28
05/24/2021 ,2.763,3.699,2.28
05/31/2021 ,2.771,3.699,2.28
06/07/2021 ,2.805,3.739,2.28
06/14/2021 ,2.812,3.729,2.28
06/21/2021 ,2.83,3.749,2.28
06/28/2021 ,2.826,3.689,2.28
07/05/2021 ,2.815,3.599,2.28
07/12/2021 ,2.832,3.639,2.28
07/19/2021 ,2.818,3.64,2.28
07/26/2021 ,2.766,3.599,2.28
08/03/2021 ,2.762,3.599,2.28
08/09/2021 ,2.765,3.599,2.28
08/16/2021 ,2.744,3.499,2.28
08/23/2021 ,2.797,3.609,2.2
08/30/2021 ,2.803,3.629,2.3
09/06/2021 ,2.809,3.679,2.3
09/13/2021 ,2.839,3.709,2.34
09/20/2021 ,2.882,3.889,2.38
09/27/2021 ,3.052,4.059,2.52
10/04/2021 ,3.141,4.189,2.68
10/11/2021 ,3.195,4.165,2.72
10/18/2021 ,3.258,4.269,2.82
10/27/2021 ,3.357,4.24,2.84
11/01/2021 ,3.33,4.14,2.84
11/08/2021 ,3.273,4.379,2.84
11/15/2021 ,3.281,4.469,2.8
11/22/2021 ,3.253,4.439,2.74
11/29/2021 ,3.212,4.319,2.619
12/06/2021 ,3.155,4.389,2.619
12/13/2021 ,3.147,4.469,2.59
12/20/2021 ,3.163,4.409,2.7
12/27/2021 ,3.196,4.589,2.74
01/03/2022 ,3.257,4.599,2.78
01/10/2022 ,3.314,4.729,2.919
01/17/2022 ,3.533,4.979,3.12
01/24/2022 ,3.594,4.909,3.099
01/31/2022 ,3.715,4.999,3.199
02/07/2022 ,3.847,4.999,3.38
02/14/2022 ,3.903,5.139,3.38
02/21/2022 ,3.857,5.039,3.38
02/28/2022 ,3.961,5.199,3.48
03/07/2022 ,5.001,5.999,3.95
03/14/2022 ,4.688,5.599,3.699
03/21/2022 ,4.836,6.149,4.299
03/28/2022 ,5.026,6.199,4.299
04/04/2022 ,4.807,5.889,4.2
04/11/2022 ,4.887,5.999,4.3
04/18/2022 ,5.172,5.999,4.7
04/25/2022 ,6.247,6.699,5.6
05/02/2022 ,6.348,6.999,5.8
05/09/2022 ,6.374,6.999,5.8
05/16/2022 ,6.277,6.999,5.7
05/23/2022 ,5.666,6.369,5.1
05/30/2022 ,5.633,6.639,4.9
06/13/2022 ,5.749,6.809,4.999
06/20/2022 ,5.655,6.529,5.04
06/27/2022 ,5.541,6.37,5
07/11/2022 ,5.08,6.059,4.5
07/18/2022 ,4.952,6.089,4.4
07/25/2022 ,4.87,6.159,4.2
08/01/2022 ,4.804,5.949,4.2
08/08/2022 ,4.627,5.699,4
08/15/2022 ,4.577,5.699,3.9
08/22/2022 ,4.699,6.129,3.98
08/29/2022 ,4.85,6.199,4.199
09/06/2022 ,4.82,6.119,4.499
09/12/2022 ,4.792,6.119,4.199
09/26/2022 ,4.672,6.049,3.9
10/03/2022 ,4.49,5.949,3.9
10/10/2022 ,5.439,6.759,4.449
10/17/2022 ,5.754,6.999,4.499
10/24/2022 ,5.709,6.789,5.28
10/31/2022 ,5.868,6.899,5.399
11/07/2022 ,5.927,6.824,5.4
11/14/2022 ,5.644,6.531,4.89
11/21/2022 ,5.155,6.359,4.6
11/28/2022 ,4.828,6.09,4.299
12/05/2022 ,4.53,5.999,3.799
12/12/2022 ,4.205,6.139,3.599
12/19/2022 ,4.341,5.629,3.79
12/26/2022 ,4.414,5.819,3.85
01/02/2023 ,4.527,6.499,3.799
01/09/2023 ,4.31,5.749,3.369
01/16/2023 ,4.436,6.499,3.8
01/24/2023 ,4.623,6.679,3.999
01/30/2023 ,4.415,5.749,3.899
02/06/2023 ,4.29,5.899,3.64
02/13/2023 ,4.036,5.299,3.499
02/20/2023 ,3.938,5.16,3.399
02/27/2023 ,3.976,5.499,3.38
03/06/2023 ,4.019,5.599,3.48
03/13/2023 ,3.911,5.509,3.44
03/20/2023 ,3.908,5.599,3.319
03/27/2023 ,3.803,5.299,3.249
04/17/2023 ,3.815,5.179,3.24
04/24/2023 ,3.772,4.919,2.98
05/01/2023 ,3.662,4.949,2.98
05/08/2023 ,3.57,4.779,2.9
05/15/2023 ,3.556,4.809,2.88
05/22/2023 ,3.575,4.899,2.88
05/29/2023 ,3.465,4.519,2.8
06/05/2023 ,3.462,4.639,2.79
06/12/2023 ,3.131,3.98,2.79
06/19/2023 ,3.567,4.829,2.79
06/26/2023 ,3.506,4.679,2.79
